,Team,INS,OUT
0,Atlanta Hawks,61,82
1,Boston Celtics,81,91
2,Brooklyn Nets,68,77
3,Charlotte Hornets,66,81
4,Chicago Bulls,76,85
5,Cleveland Cavaliers,74,82
6,Dallas Mavericks,75,87
7,Denver Nuggets,78,85
8,Detroit Pistons,74,76
9,Golden State Warriors,60,87
10,Houston Rockets,77,84
11,Indiana Pacers,74,89
12,Los Angeles Clippers,76,89
13,Los Angeles Lakers,90,86
14,Memphis Grizzlies,77,85
15,Miami Heat,81,83
16,Milwaukee Bucks,76,85
17,Minnesota Timberwolves,80,82
18,New Orleans Pelicans,84,85
19,New York Knicks,74,84
20,Oklahoma City Thunder,72,92
21,Orlando Magic,80,85
22,Philadelphia 76ers,80,90
23,Phoenix Suns,82,91
24,Portland Trail Blazers,74,84
25,Sacramento Kings,73,87
26,San Antonio Spurs,76,85
27,Toronto Raptors,73,82
28,Utah Jazz,70,84
29,Washington Wizards,71,82
