Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Wed, May 1, 2024",7:30p,Miami Heat,84,Boston Celtics,118,Box Score,,"19,156",TD Garden,
"Wed, May 1, 2024",10:00p,Dallas Mavericks,123,Los Angeles Clippers,93,Box Score,,"19,37",Crypto.com Arena,
"Thu, May 2, 2024",6:30p,Milwaukee Bucks,98,Indiana Pacers,120,Box Score,,"17,274",Gainbridge Fieldhouse,
"Thu, May 2, 2024",9:00p,New York Knicks,118,Philadelphia 76ers,115,Box Score,,"21,093",Wells Fargo Center,
"Fri, May 3, 2024",7:00p,Cleveland Cavaliers,96,Orlando Magic,103,Box Score,,"19,193",Kia Center,
"Fri, May 3, 2024",9:30p,Los Angeles Clippers,101,Dallas Mavericks,114,Box Score,,"20,625",American Airlines Center,
"Sat, May 4, 2024",7:00p,Minnesota Timberwolves,106,Denver Nuggets,99,Box Score,,"19,915",Ball Arena,
"Sun, May 5, 2024",1:00p,Orlando Magic,94,Cleveland Cavaliers,106,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Mon, May 6, 2024",7:30p,Indiana Pacers,117,New York Knicks,121,Box Score,,"19,812",Madison Square Garden (IV),
"Mon, May 6, 2024",10:00p,Minnesota Timberwolves,106,Denver Nuggets,80,Box Score,,"19,942",Ball Arena,
"Tue, May 7, 2024",7:00p,Cleveland Cavaliers,95,Boston Celtics,120,Box Score,,"19,156",TD Garden,
"Tue, May 7, 2024",9:30p,Dallas Mavericks,95,Oklahoma City Thunder,117,Box Score,,"18,203",Paycom Center,
"Wed, May 8, 2024",8:00p,Indiana Pacers,121,New York Knicks,130,Box Score,,"19,812",Madison Square Garden (IV),
"Thu, May 9, 2024",7:00p,Cleveland Cavaliers,118,Boston Celtics,94,Box Score,,"19,156",TD Garden,
"Thu, May 9, 2024",9:30p,Dallas Mavericks,119,Oklahoma City Thunder,110,Box Score,,"18,203",Paycom Center,
"Fri, May 10, 2024",7:00p,New York Knicks,106,Indiana Pacers,111,Box Score,,"17,274",Gainbridge Fieldhouse,
"Fri, May 10, 2024",9:30p,Denver Nuggets,117,Minnesota Timberwolves,90,Box Score,,"19,733",Target Center,
"Sat, May 11, 2024",3:30p,Oklahoma City Thunder,101,Dallas Mavericks,105,Box Score,,"20,325",American Airlines Center,
"Sat, May 11, 2024",8:30p,Boston Celtics,106,Cleveland Cavaliers,93,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sun, May 12, 2024",3:30p,New York Knicks,89,Indiana Pacers,121,Box Score,,"17,274",Gainbridge Fieldhouse,
"Sun, May 12, 2024",8:00p,Denver Nuggets,115,Minnesota Timberwolves,107,Box Score,,"19,583",Target Center,
"Mon, May 13, 2024",7:00p,Boston Celtics,109,Cleveland Cavaliers,102,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Mon, May 13, 2024",9:30p,Oklahoma City Thunder,100,Dallas Mavericks,96,Box Score,,"20,607",American Airlines Center,
"Tue, May 14, 2024",8:00p,Indiana Pacers,91,New York Knicks,121,Box Score,,"19,812",Madison Square Garden (IV),
"Tue, May 14, 2024",10:30p,Minnesota Timberwolves,97,Denver Nuggets,112,Box Score,,"19,992",Ball Arena,
"Wed, May 15, 2024",7:00p,Cleveland Cavaliers,98,Boston Celtics,113,Box Score,,"19,156",TD Garden,
"Wed, May 15, 2024",9:30p,Dallas Mavericks,104,Oklahoma City Thunder,92,Box Score,,"18,203",Paycom Center,
"Thu, May 16, 2024",8:30p,Denver Nuggets,70,Minnesota Timberwolves,115,Box Score,,"19,187",Target Center,
"Fri, May 17, 2024",8:30p,New York Knicks,103,Indiana Pacers,116,Box Score,,"17,274",Gainbridge Fieldhouse,
"Sat, May 18, 2024",8:00p,Oklahoma City Thunder,116,Dallas Mavericks,117,Box Score,,"20,555",American Airlines Center,
"Sun, May 19, 2024",3:30p,Indiana Pacers,130,New York Knicks,109,Box Score,,"19,812",Madison Square Garden (IV),
"Sun, May 19, 2024",8:00p,Minnesota Timberwolves,98,Denver Nuggets,90,Box Score,,"20,022",Ball Arena,
"Tue, May 21, 2024",8:00p,Indiana Pacers,128,Boston Celtics,133,Box Score,OT,"19,156",TD Garden,
"Wed, May 22, 2024",8:30p,Dallas Mavericks,108,Minnesota Timberwolves,105,Box Score,,"19,433",Target Center,
"Thu, May 23, 2024",8:00p,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
"Fri, May 24, 2024",8:30p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
"Sat, May 25, 2024",8:30p,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Sun, May 26, 2024",8:00p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,
"Mon, May 27, 2024",8:00p,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Tue, May 28, 2024",8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,
"Wed, May 29, 2024",,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
"Thu, May 30, 2024",,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
"Fri, May 31, 2024",,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
