,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
0,"Tue, Oct 24, 2023",7:30p,Los Angeles Lakers,107.0,Denver Nuggets,119.0,Box Score,,"19,842",Ball Arena,
1,"Tue, Oct 24, 2023",10:00p,Phoenix Suns,108.0,Golden State Warriors,104.0,Box Score,,"18,064",Chase Center,
2,"Wed, Oct 25, 2023",7:00p,Houston Rockets,86.0,Orlando Magic,116.0,Box Score,,"18,846",Kia Center,
3,"Wed, Oct 25, 2023",7:00p,Boston Celtics,108.0,New York Knicks,104.0,Box Score,,"19,812",Madison Square Garden (IV),
4,"Wed, Oct 25, 2023",7:00p,Washington Wizards,120.0,Indiana Pacers,143.0,Box Score,,"16,004",Gainbridge Fieldhouse,
5,"Wed, Oct 25, 2023",7:00p,Atlanta Hawks,110.0,Charlotte Hornets,116.0,Box Score,,"16,129",Spectrum Center,
6,"Wed, Oct 25, 2023",7:30p,Detroit Pistons,102.0,Miami Heat,103.0,Box Score,,"19,695",Kaseya Center,
7,"Wed, Oct 25, 2023",7:30p,Minnesota Timberwolves,94.0,Toronto Raptors,97.0,Box Score,,"19,8",Scotiabank Arena,
8,"Wed, Oct 25, 2023",7:30p,Cleveland Cavaliers,114.0,Brooklyn Nets,113.0,Box Score,,"17,931",Barclays Center,
9,"Wed, Oct 25, 2023",8:00p,New Orleans Pelicans,111.0,Memphis Grizzlies,104.0,Box Score,,"17,798",FedEx Forum,
10,"Wed, Oct 25, 2023",8:00p,Oklahoma City Thunder,124.0,Chicago Bulls,104.0,Box Score,,"21,369",United Center,
11,"Wed, Oct 25, 2023",9:00p,Sacramento Kings,130.0,Utah Jazz,114.0,Box Score,,"18,206",Delta Center,
12,"Wed, Oct 25, 2023",9:30p,Dallas Mavericks,126.0,San Antonio Spurs,119.0,Box Score,,"18,947",Frost Bank Center,
13,"Wed, Oct 25, 2023",10:30p,Portland Trail Blazers,111.0,Los Angeles Clippers,123.0,Box Score,,"19,37",Crypto.com Arena,
14,"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,117.0,Milwaukee Bucks,118.0,Box Score,,"17,783",Fiserv Forum,
15,"Thu, Oct 26, 2023",10:00p,Phoenix Suns,95.0,Los Angeles Lakers,100.0,Box Score,,"18,997",Crypto.com Arena,
16,"Fri, Oct 27, 2023",7:00p,Denver Nuggets,108.0,Memphis Grizzlies,104.0,Box Score,,"16,617",FedEx Forum,
17,"Fri, Oct 27, 2023",7:00p,Detroit Pistons,111.0,Charlotte Hornets,99.0,Box Score,,"15,855",Spectrum Center,
18,"Fri, Oct 27, 2023",7:30p,New York Knicks,126.0,Atlanta Hawks,120.0,Box Score,,"17,692",State Farm Arena,
19,"Fri, Oct 27, 2023",7:30p,Oklahoma City Thunder,108.0,Cleveland Cavaliers,105.0,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
20,"Fri, Oct 27, 2023",7:30p,Miami Heat,111.0,Boston Celtics,119.0,Box Score,,"19,156",TD Garden,
21,"Fri, Oct 27, 2023",8:00p,Toronto Raptors,103.0,Chicago Bulls,104.0,Box Score,OT,"19,555",United Center,
22,"Fri, Oct 27, 2023",8:00p,Houston Rockets,122.0,San Antonio Spurs,126.0,Box Score,OT,"18,354",Frost Bank Center,
23,"Fri, Oct 27, 2023",8:30p,Brooklyn Nets,120.0,Dallas Mavericks,125.0,Box Score,,"20,238",American Airlines Center,
